Name,Mu_BI,Uhat_BI,BI,BI_ilink,Mu_Sind,Uhat_SInd,Sind,Sind_ilink,DSI_general_ilink,DSI_Uhat_general,DSI_BLUP_general,Q1,Q2,Q3,Q4
S130,-0.765807895,0.115759145,-0.650048749,0.342978552,-0.951947639,0.165178143,-0.786769496,0.312862742,0.327920647,0.140468644,-0.718409123,3.66E-12,4.02E-35,4.47E-18,1
S131,-0.765807895,-0.085931831,-0.851739726,0.299068038,-0.951947639,-0.09836598,-1.05031362,0.259164882,0.27911646,-0.092148906,-0.951026673,0.999820525,1.76E-20,0.000179312,0.000000163
S132,-0.765807895,-0.516573661,-1.282381556,0.217145103,-0.951947639,-0.781623683,-1.733571322,0.150131338,0.183638221,-0.649098672,-1.507976439,0.998996268,2.36E-13,0.001003732,9.58E-14
S133,-0.765807895,-0.129206722,-0.895014617,0.290076072,-0.951947639,-0.088914592,-1.040862231,0.26098366,0.275529866,-0.109060657,-0.967938424,3.64E-15,7.26E-39,4.92E-19,1
S134,-0.765807895,-0.249017135,-1.014825029,0.266036647,-0.951947639,-0.455575955,-1.407523594,0.196624944,0.231330796,-0.352296545,-1.211174312,7.64E-16,6.80E-39,1.69E-20,1
S135,-0.765807895,0.33002503,-0.435782865,0.392746286,-0.951947639,0.305923397,-0.646024243,0.343886024,0.368316155,0.317974213,-0.540903554,6.47E-14,3.35E-36,6.63E-20,1
S136,-0.765807895,0.216709504,-0.549098391,0.366073614,-0.951947639,0.37976249,-0.572185149,0.360732766,0.36340319,0.298235997,-0.56064177,0.999128253,1.75E-23,0.000862796,0.00000895
S137,-0.765807895,0.122744254,-0.643063641,0.344554328,-0.951947639,0.078785212,-0.873162428,0.294596693,0.31957551,0.100764733,-0.758113035,8.80E-16,5.17E-35,5.65E-13,1
S138,-0.765807895,-0.247004713,-1.012812608,0.26642978,-0.951947639,-0.119093058,-1.071040698,0.255205223,0.260817501,-0.183048886,-1.041926653,2.85E-25,1,2.48E-28,6.69E-28
S139,-0.765807895,-0.871759373,-1.637567268,0.162796357,-0.951947639,-0.877199387,-1.829147026,0.138339918,0.150568137,-0.87447938,-1.733357147,3.29E-35,1,9.85E-37,1.03E-43
S14,-0.765807895,0.053307838,-0.712500057,0.329046654,-0.951947639,-0.260174201,-1.212121841,0.229325831,0.279186243,-0.103433182,-0.962310949,1.97E-15,3.10E-38,8.57E-21,1
S140,-0.765807895,-0.300635936,-1.066443831,0.256079957,-0.951947639,-0.738050838,-1.689998477,0.15577604,0.205927999,-0.519343387,-1.378221154,2.31E-42,1,3.82E-44,1.14E-50
S141,-0.765807895,-0.082911399,-0.848719294,0.299701584,-0.951947639,-0.013772785,-0.965720425,0.275734334,0.287717959,-0.048342092,-0.90721986,4.50E-15,1.80E-42,3.40E-20,1
S142,-0.765807895,0.115401723,-0.650406172,0.342898013,-0.951947639,0.320146087,-0.631801552,0.347102154,0.345000083,0.217773905,-0.641103862,0.999333489,2.56E-26,0.000666504,7.41E-09
S143,-0.765807895,-0.187557997,-0.953365892,0.278208418,-0.951947639,-0.07713464,-1.02908228,0.263262062,0.27073524,-0.132346319,-0.991224086,6.20E-12,5.58E-33,1.41E-17,1
S144,-0.765807895,-0.139936058,-0.905743953,0.287871545,-0.951947639,-0.200794062,-1.152741701,0.239988657,0.263930101,-0.17036506,-1.029242827,0.995607442,6.21E-21,0.004392385,0.000000173
S145,-0.765807895,0.016780584,-0.749027311,0.321033282,-0.951947639,-0.262032237,-1.213979876,0.228997615,0.275015449,-0.122625826,-0.981503594,7.96E-12,3.89E-33,5.86E-17,1
S146,-0.765807895,0.408515857,-0.357292038,0.411615245,-0.951947639,0.370261059,-0.58168658,0.358544604,0.385079924,0.389388458,-0.469489309,1.15E-13,3.47E-35,9.82E-18,1
S147,-0.765807895,-0.562401853,-1.328209748,0.209455648,-0.951947639,-0.496264165,-1.448211805,0.190276924,0.199866286,-0.529333009,-1.388210777,0.996111851,1.91E-18,0.003888149,2.01E-11
S148,-0.765807895,-0.139247188,-0.905055083,0.288012785,-0.951947639,-0.191432476,-1.143380115,0.241700308,0.264856547,-0.165339832,-1.024217599,1.43E-16,7.69E-40,8.70E-21,1
S149,-0.765807895,-0.041006883,-0.806814778,0.308569662,-0.951947639,-0.120731477,-1.072679117,0.254893924,0.281731793,-0.08086918,-0.939746948,2.41E-14,1.66E-37,3.11E-18,1
S15,-0.765807895,0.191073146,-0.574734749,0.360145026,-0.951947639,0.224251655,-0.727695984,0.325700531,0.342922778,0.2076624,-0.651215367,1.80E-18,2.98E-41,1.28E-20,1
S150,-0.765807895,0.007023039,-0.758784856,0.318910145,-0.951947639,0.256622388,-0.695325251,0.332849493,0.325879819,0.131822713,-0.727055054,4.80E-09,2.93E-30,3.33E-13,0.999999995
S151,-0.765807895,0.138804041,-0.627003854,0.348190215,-0.951947639,-0.052632523,-1.004580162,0.26804186,0.308116038,0.043085759,-0.815792008,1.10E-11,5.36E-35,8.74E-17,1
S152,-0.765807895,-0.122047769,-0.887855664,0.291552541,-0.951947639,-0.133332847,-1.085280486,0.252508035,0.272030288,-0.127690308,-0.986568075,6.72E-16,4.45E-41,3.17E-20,1
S153,-0.765807895,0.186686419,-0.579121475,0.359134767,-0.951947639,0.314890511,-0.637057128,0.345912082,0.352523425,0.250788465,-0.608089302,1.56E-16,6.33E-34,2.78E-21,1
S154,-0.765807895,-0.110135516,-0.87594341,0.294019109,-0.951947639,-0.084773455,-1.036721095,0.261783156,0.277901132,-0.097454485,-0.956332253,1.31E-16,1.84E-39,1.68E-20,1
S155,-0.765807895,0.125411264,-0.640396631,0.345156886,-0.951947639,0.138346586,-0.813601053,0.307123664,0.326140275,0.131878925,-0.726998842,1.44E-15,8.17E-37,4.30E-21,1
S156,-0.765807895,-0.06350197,-0.829309865,0.303791015,-0.951947639,-0.273444925,-1.225392564,0.226988852,0.265389934,-0.168473447,-1.027351215,0.000911937,0.999086749,0.00000131,7.72E-16
S157,-0.765807895,-0.387924231,-1.153732125,0.239808055,-0.951947639,-0.310903184,-1.262850824,0.220483529,0.230145792,-0.349413707,-1.208291475,0.582024082,2.43E-23,0.321824637,0.096151281
S158,-0.765807895,-0.305716917,-1.071524812,0.255113215,-0.951947639,-0.34662631,-1.298573949,0.214405117,0.234759166,-0.326171613,-1.185049381,0.711438824,1.28E-25,0.00000513,0.288556047
